original,translated
"""Allergic rhinitis, cause unspecified""","""Viêm mũi dị ứng, gây ra không xác định"""
Altered mental status,Thay đổi tình trạng tâm thần
Alternating esotropia,Esotropia xen kẽ
Alternating exotropia,Exotropia xen kẽ
"""Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], without mention of complication""","""Cắt cụt chấn thương của cánh tay và bàn tay (hoàn thành) (một phần), song phương [bất kỳ cấp độ nào], mà không đề cập đến biến chứng"""
"""Traumatic amputation of leg(s) (complete) (partial), bilateral [any level]), without mention of complication""","""Cắt cụt chân của chân (hoàn chỉnh) (một phần), song phương [bất kỳ cấp độ nào]), mà không đề cập đến biến chứng"""
Amyotrophic lateral sclerosis,Bệnh xơ cứng teo cơ bên
Abscess of anal and rectal regions,Áp xe của các vùng hậu môn và trực tràng
"""Anaplastic large cell lymphoma, lymph nodes of head, face, and neck""","""Anaplastic Lymphoma tế bào lớn, hạch bạch huyết của đầu, mặt và cổ"""
Ancylostomiasis due to ancylostoma duodenale,Biến dạng ancylostomias do Ancylostoma Duodenale
"""Anemia of mother, unspecified as to episode of care or not applicable""","""Thiếu máu của mẹ, không được xác định theo tập chăm sóc hoặc không áp dụng"""
Anemia of prematurity,Thiếu máu sinh non
Other aneurysm of heart,Phình động mạch khác của trái tim
Angiodysplasia of intestine (without mention of hemorrhage),Angiodysplasia ruột (không đề cập đến xuất huyết)
Animal-drawn vehicle accident injuring occupant of streetcar,Vụ tai nạn xe kéo động vật bị thương ở xe điện
"""Ankylosis of joint, multiple sites""","""Ankylosis của khớp, nhiều trang web"""
"""Anomalies of foot, not elsewhere classified""","""Sự bất thường của bàn chân, không phải nơi nào khác được phân loại"""
Other anomalies of toes,Sự bất thường khác của ngón chân
Open anterior dislocation of elbow,Mở trật khớp trước của khuỷu tay
Other anterior horn cell diseases,Các bệnh tế bào sừng trước khác
"""Anterior horn cell disease, unspecified""","""Bệnh tế bào sừng trước, không xác định"""
Aortic valve disorders,Rối loạn van động mạch chủ
Arrest of bone development or growth,Bắt giữ sự phát triển hoặc tăng trưởng xương
Embolism and thrombosis of other specified artery,Thuyên tắc và huyết khối của động mạch được chỉ định khác
Embolism and thrombosis of unspecified artery,Thuyên tắc và huyết khối của động mạch không xác định
Arthropathy associated with other conditions classifiable elsewhere,Bệnh khớp liên quan đến các điều kiện khác có thể phân loại ở nơi khác
"""Other specified arthropathy, ankle and foot""","""Bệnh khớp, mắt cá chân và chân được chỉ định khác"""
"""Other specified arthropathy, lower leg""","""Bệnh nhân khớp được chỉ định khác, chân dưới"""
"""Arthropathy, unspecified, ankle and foot""","""Bệnh khớp, không xác định, mắt cá chân và chân"""
"""Arthropathy, unspecified, lower leg""","""Bệnh khớp, không xác định, chân dưới"""
"""Articular cartilage disorder, hand""","""Rối loạn sụn khớp, tay"""
Other artificial opening status,Tình trạng mở nhân tạo khác
Unspecified artificial opening status,Tình trạng mở nhân tạo không xác định
Activity involving other arts and handcrafts,Hoạt động liên quan đến nghệ thuật và thủ công khác
Assault by cutting and piercing instrument,Tấn công bằng cách cắt và xuyên qua dụng cụ
Assault by other specified explosive,Tấn công bởi chất nổ được chỉ định khác
Assault by unspecified explosive,Tấn công bởi chất nổ không xác định
Assault by gasoline bomb,Tấn công bằng bom xăng
Assault by hunting rifle,Tấn công bằng cách săn bắn súng trường
Assault by unspecified poisoning,Tấn công do ngộ độc không xác định
Asymptomatic varicose veins,Các tĩnh mạch khác nhau không có triệu chứng
Attention to tracheostomy,Chú ý đến phẫu thuật mở khí quản
Autonomic dysreflexia,Chứng khó đọc tự trị
"""Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)""","""Tăng sản của tuyến tiền liệt, không xác định, với tắc nghẽn nước tiểu và các triệu chứng tiết niệu thấp hơn (LUTS)"""
"""Arthropathy associated with other bacterial diseases, pelvic region and thigh""","""Bệnh khớp liên quan đến các bệnh vi khuẩn khác, vùng chậu và đùi"""
"""Arthropathy associated with other bacterial diseases, shoulder region""","""Bệnh khớp liên quan đến các bệnh vi khuẩn khác, vùng vai"""
"""Arthropathy associated with other bacterial diseases, site unspecified""","""Bệnh khớp liên quan đến các bệnh vi khuẩn khác, trang web không xác định"""
"""Arthropathy associated with other bacterial diseases, upper arm""","""Bệnh khớp liên quan đến các bệnh vi khuẩn khác, cánh tay trên"""
Bacteremia of newborn,Vi khuẩn sinh trẻ sơ sinh
"""Arthropathy in Behcet's syndrome, hand""","""Bệnh khớp trong hội chứng của Behcet, tay"""
"""Arthropathy in Behcet's syndrome, multiple sites""","""Bệnh khớp trong hội chứng của Behcet, nhiều trang web"""
Benign neoplasm of lacrimal duct,Neoplasm lành tính của ống lacrimal
Benign neoplasm of epididymis,Neoplasm lành tính của mào tinh thần
"""Benign neoplasm of skin of trunk, except scrotum""","""Neoplasm của da thân cây, ngoại trừ bìu"""
Benign neoplasm of other specified parts of uterus,Neoplasm lành tính của các bộ phận được chỉ định khác của tử cung
"""Benign neoplasm of uterus, part unspecified""","""Neoplasm của tử cung, một phần không xác định"""
Benign neoplasm of brain,Neoplasm lành tính của não
Benign neoplasm of heart,Neoplasm lành tính của trái tim
Benign neoplasm of orbit,Neoplasm lành tính của quỹ đạo
Benign neoplasm of ovary,Neoplasm lành tính của buồng trứng
Benign neoplasm of penis,Neoplasm lành tính của dương vật
Benign neoplasm of vulva,Neoplasm lành tính của âm hộ
Nontraumatic rupture of tendons of biceps (long head),Vỡ không bị vỡ của gân bắp tay (đầu dài)
"""Femoral hernia with gangrene, bilateral (not specified as recurrent)""","""Thoát vị xương đùi với hoại thư, song phương (không được chỉ định là tái phát)"""
"""Inguinal hernia, without mention of obstruction or gangrene, bilateral (not specified as recurrent)""","""Thoát vị bẹn, mà không đề cập đến tắc nghẽn hoặc hoại thư, song phương (không được chỉ định là tái phát)"""
"""Bipolar I disorder, most recent episode (or current) unspecified""","""Rối loạn lưỡng cực I, tập gần đây nhất (hoặc hiện tại) không xác định"""
Blind hypotensive eye,Mắt hạ huyết áp mù
"""Blister of hand(s) except finger(s) alone, infected""","""Bàn tay (s) ngoại trừ (các) ngón tay một mình, bị nhiễm bệnh"""
"""Blister of face, neck, and scalp except eye, infected""","""Mụn nước, cổ và da đầu ngoại trừ mắt, bị nhiễm bệnh"""
Accident to watercraft causing other injury to occupant of other watercraft -- crew,Tai nạn với thủy phi cơ gây thương tích cho người cư ngụ khác của tàu thủy khác - phi hành đoàn
Accident to watercraft causing other injury to swimmer,Tai nạn cho tàu thủy gây thương tích cho người bơi khác
"""Accident to watercraft causing submersion, occupant of military watercraft, any type""","""Tai nạn với thủy phi cơ gây ra sự phục tùng, người cư ngụ của tàu thủy quân sự, bất kỳ loại nào"""
Accident to watercraft causing submersion injuring other specified person,Tai nạn với thủy phi cơ gây thương tích cho người khác bị thương
Accident to watercraft causing submersion injuring unspecified person,Tai nạn với thủy phi cơ gây thương tích cho người không xác định
"""Other infections involving bone in diseases classified elsewhere, ankle and foot""","""Các bệnh nhiễm trùng khác liên quan đến xương trong các bệnh được phân loại ở nơi khác, mắt cá chân và chân"""
"""Other infections involving bone in diseases classified elsewhere, lower leg""","""Các bệnh nhiễm trùng khác liên quan đến xương trong các bệnh được phân loại ở nơi khác, chân dưới"""
"""Unspecified infection of bone, ankle and foot""","""Nhiễm trùng xương, mắt cá chân và chân"" không xác định """
"""Unspecified infection of bone, lower leg""","""Nhiễm trùng xương, chân dưới"" không xác định """
Boutonniere deformity,Buteonniere biến dạng
Brachial neuritis or radiculitis NOS,Viêm thần kinh BRACHIAL hoặc Viêm X quang NOS
"""Engorgement of breasts associated with childbirth, unspecified as to episode of care or not applicable""","""Sự gắn kết của vú liên quan đến sinh con, không được xác định là về việc chăm sóc hoặc không áp dụng"""
Mechanical complication due to breast prosthesis,Biến chứng cơ học do phục hình vú
Bullous retinoschisis,Retinoschisis
"""Burkitt's tumor or lymphoma, intra-abdominal lymph nodes""","""Khối u hoặc ung thư hạch của Burkitt, các hạch bạch huyết trong ổ bụng"""
"""Burn of unspecified degree of multiple sites of upper limb, except wrist and hand""","""Burn của mức độ không xác định của nhiều vị trí của chi trên, ngoại trừ cổ tay và tay"""
Burn of unspecified degree of back of hand,Đốt cháy mức độ không xác định của bàn tay
Burn of unspecified degree of multiple sites of lower limb(s),Ghi mức độ không xác định của nhiều vị trí của chi dưới
"""Burn of unspecified degree of two or more digits of hand, not including thumb""","""Burn của mức độ không xác định của hai hoặc nhiều chữ số, không bao gồm ngón tay cái"""
"""Burn of unspecified degree of trunk, unspecified site""","""Burn của mức độ không xác định của thân cây, trang web không xác định"""
Unspecified burn of eye and adnexa,Không xác định vết bỏng của mắt và adnexa
"""Other cardiovascular diseases of mother, antepartum condition or complication""","""Các bệnh tim mạch khác của mẹ, tình trạng chống lại hoặc biến chứng"""
